link,title,date,datetime,author,author_link,caption,image
https://techcrunch.com/2018/10/17/azimo-for-biz/,Azimo launches business money transfer service,"Oct 17, 2018",2018-10-17T06:19:39+00:00,Steve O'Hear,https://techcrunch.com/author/steve-o-hear/,"Hot on the heels of raising $20 million in Series C funding led by Japan’s Rakuten Capital, London-based money transfer service Azimo is launching a new service aimed at small and medium-sized b",https://techcrunch.com/wp-content/uploads/2018/10/05_Azimo.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/skydios-autonomous-drone-lands-in-apple-retail-stores-now-supports-watch-controls/,"Skydio’s autonomous drone lands in Apple retail stores, now supports Watch controls","Oct 17, 2018",2018-10-17T06:05:08+00:00,Lucas Matney,https://techcrunch.com/author/lucas-matney/,"With a few taps, you can now direct Skydio‘s $1,999 autonomous drone from your Apple Watch, allowing you to fulfill the geeky dream you never knew you had: directing an expensive autonomous dron",https://techcrunch.com/wp-content/uploads/2018/10/img_20180402_153427-2-1.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/whitesource-nabs-35m-to-track-open-source-code-for-security-vulnerabilities/,WhiteSource nabs $35M to track open source code for security vulnerabilities,"Oct 17, 2018",2018-10-17T06:00:55+00:00,Ingrid Lunden,https://techcrunch.com/author/ingrid-lunden/,"Open source software — a $14 billion market — has become a cornerstone for building apps and other IT services, with some 97 percent of developers today using open source components of o",https://techcrunch.com/wp-content/uploads/2018/02/gettyimages-655977302.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/applied-gets-2m-to-make-hiring-fairer-using-algorithms-not-ai/,"Applied gets $2M to make hiring fairer — using algorithms, not AI","Oct 17, 2018",2018-10-17T04:40:31+00:00,Natasha Lomas,https://techcrunch.com/author/natasha-lomas/,"London-based startup Applied has bagged £1.5M (~$2M) in seed funding for a fresh, diversity-sensitive approach to recruitment that deconstructs and reworks the traditional CV-bound process, drawing o",https://techcrunch.com/wp-content/uploads/2018/10/group-photo-without-logo3.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/unifonic-dubbed-the-twilio-of-emerging-markets-closes-21m-series-a-round/,"Unifonic, dubbed the Twilio of emerging markets, closes $21M Series A round","Oct 17, 2018",2018-10-17T03:06:21+00:00,Mike Butcher,https://techcrunch.com/author/mike-butcher/,"Those of you familiar with the incredible rise of Twilio, which came along to utterly disrupt the communications world, will be interested to hear that another player plans to do the same, but this ti",https://techcrunch.com/wp-content/uploads/2018/10/maxresdefault.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/cognata-raises-18-5m-as-race-to-deploy-autonomous-vehicles-quickens/,Cognata raises $18.5M as race to deploy autonomous vehicles quickens,"Oct 17, 2018",2018-10-17T03:00:54+00:00,Kirsten Korosec,https://techcrunch.com/author/kirsten-korosec/,"Cognata has raised $18.5 million in a funding round led by Scale Venture Partners, fresh capital that the Israeli autonomous simulation startup will use to meet demand for technology that will help co",https://techcrunch.com/wp-content/uploads/2018/10/Cognata-live-system-3.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/smule-raises-20m-with-plans-to-expand-india-operations/,"Smule raises $20M, with plans to expand India operations","Oct 17, 2018",2018-10-17T02:00:35+00:00,Brian Heater,https://techcrunch.com/author/brian-heater/,"App maker turned music social network Smule has raised another $20 million. The latest round follows a $54 million raise in May of last year, led by Tencent, intent on helping the company expand Asia",https://techcrunch.com/wp-content/uploads/2015/09/smule.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/memory-timely/,Memory raises $5M to bring AI to time tracking,"Oct 17, 2018",2018-10-17T01:00:00+00:00,Steve O'Hear,https://techcrunch.com/author/steve-o-hear/,"Memory, a startup out of Norway and maker of time tracking app Timely, has raised $5 million in further funding. Leading the round is Concentric, and Investinor, with participation from existing inves",https://techcrunch.com/wp-content/uploads/2018/10/02_team.jpeg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/european-late-stage-fintech-startups-get-a-boost-with-new-corviglia-fund/,European late-stage FinTech startups get a boost with new Corviglia fund,"Oct 17, 2018",2018-10-17T00:48:19+00:00,Mike Butcher,https://techcrunch.com/author/mike-butcher/,"In a boost to late-stage funding for FinTech startups looking to scale-up without having to leave Europe, what claims to be the largest growth equity fund for Fintech in Europe launches today. The Cor",https://techcrunch.com/wp-content/uploads/2018/10/CCF-Group-Photo-From-left-to-right-Paweł-Karczewski-Petr-Šmída-Cezary-Smorszczewski-Marcin-Goszyk-and-Piotr-Pisarz.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/facebook-watch-real-world/,MTV’s Real World will be revived with interactivity on Facebook Watch,"Oct 17, 2018",2018-10-17T00:45:31+00:00,Josh Constine,https://techcrunch.com/author/josh-constine/,"The world’s first hit reality show “The Real World” is being reimagined for Facebook Watch 26 years after it debuted on cable. Come Spring 2019, fans will get a chance to vote on who’ll jo",https://techcrunch.com/wp-content/uploads/2018/10/Facebooks-The-Real-World.jpg?w=300&h=160&crop=1
